class or id,tag_name,start_x,start_y,size_w,size_h,average_color,salient_level
id_large,st-ami,0,63,1280.0,6639.9833984375,43,43
id_large,wrapper,0,63,1280.0,6639.9833984375,43,43
id_large,wrapper-in,0,63,1280.0,6639.9833984375,43,43
id,header-box,0,726,1280.0,60.0,34,34
id,header-search,1180,726,100.0,60.0,50,32.73071047912016
id,search,1210,776,350.0,0.0,0,0
id,st-menubox,609,726,571.433349609375,78.0,24,16.97909026080718
id,st-menuwide,609,727,571.433349609375,60.0,24,17.03098589613514
id_large,content-w,0,63,1280.0,6296.18310546875,43,43
id_large,select-content,0,578,1280.0,5243.43310546875,38,38
id,top-select,0,628,1280.0,49.19999694824219,22,22
id_large,select-content-inner,70,727,1140.0,4834.2333984375,45,45
id_large,top-lanking,85,727,1110.0,4834.2333984375,44,44
id,select-content-inner,70,5611,1140.0,160.0,0,0
id_large,top-sns,0,5821,1280.0,537.75,0,0
class,header-search-box,1200,726,80.0,60.0,52,33.95411382531986
class,header-menu,609,726,571.433349609375,50.0,24,17.069508099492097
class_large,osusume_slider slick-initialized slick-slider,0,63,1280.0,445.0,58,58
class_large,slick-list,0,63,1280.0,445.0,58,58
class_large,slick-track,-1160,63,25000.0,445.0,58,58
class,contents slick-slide slick-cloned,-430,73,700.0,390.0,63,53.224551407363144
class,image,-430,73,700.0,300.0,67,57.14509956089199
class,text,-430,373,700.0,90.0,47,38.39630552404962
class,contents slick-slide,290,73,700.0,425.0,56,46.46699221939852
class,image,290,73,700.0,300.0,64,53.73866602589902
class,text,290,373,700.0,125.0,38,30.628390104991905
class,contents slick-slide slick-current slick-active slick-center,1010,73,700.0,395.0,67,49.520918307915935
class,image,1010,73,700.0,300.0,71,53.114708341684626
class,text,1010,373,700.0,95.0,53,37.59841459068463
class,container,70,628,1140.0,49.19999694824219,24,18.519007525408252
class_large,container,70,727,1140.0,4834.2333984375,45,45
class_large,row,70,777,1140.0,4734.2333984375,45,45
class,col-md-6,70,777,570.0,396.3333435058594,39,26.20645444561545
class,top-lanking-inner,85,777,540.0,396.3333435058594,38,25.534494075215054
class,image-box,85,787,540.0,200.0,46,32.239948346785766
class,col-md-6,640,777,570.0,396.3333435058594,33,21.099937253681233
class,top-lanking-inner,655,777,540.0,366.3333435058594,34,21.9037486730875
class,image-box,655,787,540.0,200.0,35,23.352648193026898
class,col-md-6,70,1174,570.0,396.3333129882813,62,32.96981498459133
class,top-lanking-inner,85,1174,540.0,366.3333129882813,62,33.30665853149981
class,image-box,85,1184,540.0,200.0,68,38.32592493105164
class,col-md-6,640,1174,570.0,396.3333129882813,56,28.228093540588848
class,top-lanking-inner,655,1174,540.0,396.3333129882813,57,28.732166639527936
class,image-box,655,1184,540.0,200.0,63,33.694721089500085
class,col-md-6,70,1570,570.0,396.3333129882813,0,0
class,top-lanking-inner,85,1570,540.0,396.3333129882813,0,0
class,image-box,85,1580,540.0,200.0,0,0
class,col-md-6,640,1570,570.0,396.3333129882813,0,0
class,top-lanking-inner,655,1570,540.0,396.3333129882813,0,0
class,image-box,655,1580,540.0,200.0,0,0
class,col-md-6,70,1966,570.0,396.3333435058594,0,0
class,top-lanking-inner,85,1966,540.0,396.3333435058594,0,0
class,image-box,85,1976,540.0,200.0,0,0
class,col-md-6,640,1966,570.0,396.3333435058594,0,0
class,top-lanking-inner,655,1966,540.0,366.3333435058594,0,0
class,image-box,655,1976,540.0,200.0,0,0
class,col-md-6,70,2363,570.0,426.3333129882813,0,0
class,top-lanking-inner,85,2363,540.0,366.3333129882813,0,0
class,image-box,85,2373,540.0,200.0,0,0
class,col-md-6,640,2363,570.0,426.3333129882813,0,0
class,top-lanking-inner,655,2363,540.0,426.3333129882813,0,0
class,image-box,655,2373,540.0,200.0,0,0
class,col-md-6,70,2789,570.0,396.3333129882813,0,0
class,top-lanking-inner,85,2789,540.0,396.3333129882813,0,0
class,image-box,85,2799,540.0,200.0,0,0
class,col-md-6,640,2789,570.0,396.3333129882813,0,0
class,top-lanking-inner,655,2789,540.0,366.3333129882813,0,0
class,image-box,655,2799,540.0,200.0,0,0
class,col-md-6,70,3185,570.0,396.3333435058594,0,0
class,top-lanking-inner,85,3185,540.0,396.3333435058594,0,0
class,image-box,85,3195,540.0,200.0,0,0
class,col-md-6,640,3185,570.0,396.3333435058594,0,0
class,top-lanking-inner,655,3185,540.0,396.3333435058594,0,0
class,image-box,655,3195,540.0,200.0,0,0
class,col-md-6,70,3582,570.0,366.3333129882813,0,0
class,top-lanking-inner,85,3582,540.0,342.79998779296875,0,0
class,image-box,85,3592,540.0,200.0,0,0
class,col-md-6,640,3582,570.0,366.3333129882813,0,0
class,top-lanking-inner,655,3582,540.0,366.3333129882813,0,0
class,image-box,655,3592,540.0,200.0,0,0
class,col-md-6,70,3948,570.0,396.3333129882813,0,0
class,top-lanking-inner,85,3948,540.0,374.566650390625,0,0
class,image-box,85,3958,540.0,200.0,0,0
class,col-md-6,640,3948,570.0,396.3333129882813,0,0
class,top-lanking-inner,655,3948,540.0,396.3333129882813,0,0
class,image-box,655,3958,540.0,200.0,0,0
class,col-md-6,70,4344,570.0,396.3333435058594,0,0
class,top-lanking-inner,85,4344,540.0,366.3333435058594,0,0
class,image-box,85,4354,540.0,200.0,0,0
class,col-md-6,640,4344,570.0,396.3333435058594,0,0
class,top-lanking-inner,655,4344,540.0,396.3333435058594,0,0
class,image-box,655,4354,540.0,200.0,0,0
class,col-md-6,70,4741,570.0,396.3333129882813,0,0
