class or id,tag_name,start_x,start_y,size_w,size_h,average_color,salient_level
id,header-box,0,726,1280.0,60.0,34,34
id,header-search,1180,726,100.0,60.0,50,32.73071047912016
id,st-menubox,609,726,571.433349609375,78.0,24,16.97909026080718
id,st-menuwide,609,727,571.433349609375,60.0,24,17.03098589613514
id,top-select,0,628,1280.0,49.19999694824219,22,22
class,header-search-box,1200,726,80.0,60.0,52,33.95411382531986
class,header-menu,609,726,571.433349609375,50.0,24,17.069508099492097
class,contents slick-slide slick-cloned,-430,73,700.0,390.0,63,53.224551407363144
class,image,-430,73,700.0,300.0,67,57.14509956089199
class,text,-430,373,700.0,90.0,47,38.39630552404962
class,contents slick-slide,290,73,700.0,425.0,56,46.46699221939852
class,image,290,73,700.0,300.0,64,53.73866602589902
class,text,290,373,700.0,125.0,38,30.628390104991905
class,contents slick-slide slick-current slick-active slick-center,1010,73,700.0,395.0,67,49.520918307915935
class,image,1010,73,700.0,300.0,71,53.114708341684626
class,text,1010,373,700.0,95.0,53,37.59841459068463
class,container,70,628,1140.0,49.19999694824219,24,18.519007525408252
class,col-md-6,70,777,570.0,396.3333435058594,39,26.20645444561545
class,top-lanking-inner,85,777,540.0,396.3333435058594,38,25.534494075215054
class,image-box,85,787,540.0,200.0,46,32.239948346785766
class,col-md-6,640,777,570.0,396.3333435058594,33,21.099937253681233
class,top-lanking-inner,655,777,540.0,366.3333435058594,34,21.9037486730875
class,image-box,655,787,540.0,200.0,35,23.352648193026898
class,col-md-6,70,1174,570.0,396.3333129882813,62,32.96981498459133
class,top-lanking-inner,85,1174,540.0,366.3333129882813,62,33.30665853149981
class,image-box,85,1184,540.0,200.0,68,38.32592493105164
class,col-md-6,640,1174,570.0,396.3333129882813,56,28.228093540588848
class,top-lanking-inner,655,1174,540.0,396.3333129882813,57,28.732166639527936
class,image-box,655,1184,540.0,200.0,63,33.694721089500085
a,link,624,749,47.19999694824219,16.5,39,17.503871916955962
a,link,706,749,64.0,16.5,45,33.081045186264106
a,link,805,749,14.366668701171877,16.5,30,4.33856697280918
a,link,855,749,96.0,16.5,27,19.121275327371933
a,link,986,749,79.20001220703125,16.5,19,13.072156366539682
a,link,1101,749,64.0,16.5,37,24.80107238974868
a,link,-430,73,700.0,390.0,63,53.224551407363144
a,link,290,73,700.0,425.0,56,46.46699221939852
a,link,1010,73,700.0,395.0,67,49.520918307915935
a,link,85,777,540.0,396.3333435058594,38,25.534494075215054
a,link,655,777,540.0,366.3333435058594,34,21.9037486730875
a,link,85,1174,540.0,366.3333129882813,62,33.30665853149981
a,link,655,1174,540.0,396.3333129882813,57,28.732166639527936
a,link,1236,1388,44.5,44.0,12,5.474238063558744
span,span,95,628,162.43333435058594,49.19999694824219,75,57.03087323428376
span,span,283,628,175.48333740234375,49.19999694824219,46,35.31084511032945
span,span,894,679,300.8500061035156,96.0,16,11.082929644778234
span,span,85,1007,56.80000305175781,22.800003051757812,36,23.43020764969975
span,span,503,1007,122.26666259765624,22.800003051757812,27,17.72626159528135
span,span,655,1007,56.80000305175781,22.800003051757812,35,22.767289883713733
span,span,1073,1007,122.26666259765624,22.800003051757812,130,77.52904432759189
span,span,85,1404,56.80000305175781,22.79998779296875,37,19.0565492467718
span,span,523,1404,101.60000610351562,22.79998779296875,41,20.958129474712287
span,span,655,1404,79.19999694824219,22.79998779296875,31,15.671146042410522
span,span,1073,1404,122.26666259765624,22.79998779296875,38,17.798695755113485
img,image,5,731,104.11666870117188,50.0,46,33.48312817151412
img,image,1210,736,40.0,40.0,46,30.11225364079055
img,image,0,260,50.0,80.0,78,65.38451218387878
img,image,1230,260,50.0,80.0,63,47.25698411371138
